date;channel_group;channel_name;value;type_id
2021-09-30T11:01:29;gaszaehler;heizraum;1495.0;6
2021-09-30T11:02:05;aussentemperatur;nord;10.9;1
2021-09-30T11:02:05;aussenfeuchtigkeit;nord;76.0;2
2021-09-30T11:02:05;innentemperatur;kueche;21.0;1
2021-09-30T11:02:05;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:02:15;speicher;mitte;56.2;1
2021-09-30T11:02:16;zirkulation;eg;26.9;1
2021-09-30T11:02:17;heizung;vl;28.9;1
2021-09-30T11:02:18;zirkulation;kueche;30.9;1
2021-09-30T11:02:19;heizung;rl;28.8;1
2021-09-30T11:02:20;speicher;unten;30.9;1
2021-09-30T11:02:21;speicher;oben;57.9;1
2021-09-30T11:02:22;heizung;ladung-rl;28.2;1
2021-09-30T11:02:23;zirkulation;og;31.2;1
2021-09-30T11:02:24;kollektor;vl;42.1;1
2021-09-30T11:02:25;zirkulation;warmwasser;46.8;1
2021-09-30T11:02:43;innentemperatur;heizraum;22.01;1
2021-09-30T11:02:43;innenfeuchtigkeit;heizraum;37.83;2
2021-09-30T11:02:43;co2konzentration;heizraum;511.0;3
2021-09-30T11:02:50;innentemperatur;heizraum2;21.93;1
2021-09-30T11:02:50;innenfeuchtigkeit;heizraum2;41.81;2
2021-09-30T11:02:50;luftqualitaet;heizraum;116.0;4
2021-09-30T11:02:50;luftdruck;heizraum;1027.23;4
2021-09-30T11:03:30;gaszaehler;heizraum;1495.0;6
2021-09-30T11:04:05;aussentemperatur;nord;10.9;1
2021-09-30T11:04:05;aussenfeuchtigkeit;nord;76.0;2
2021-09-30T11:04:05;innentemperatur;kueche;21.0;1
2021-09-30T11:04:05;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:04:15;speicher;mitte;56.1;1
2021-09-30T11:04:16;zirkulation;eg;26.9;1
2021-09-30T11:04:17;heizung;vl;29.1;1
2021-09-30T11:04:18;zirkulation;kueche;31.0;1
2021-09-30T11:04:19;heizung;rl;28.9;1
2021-09-30T11:04:20;speicher;unten;31.1;1
2021-09-30T11:04:21;speicher;oben;57.8;1
2021-09-30T11:04:22;heizung;ladung-rl;28.2;1
2021-09-30T11:04:23;zirkulation;og;30.9;1
2021-09-30T11:04:24;kollektor;vl;42.1;1
2021-09-30T11:04:25;zirkulation;warmwasser;47.0;1
2021-09-30T11:04:43;innentemperatur;heizraum;22.04;1
2021-09-30T11:04:43;innenfeuchtigkeit;heizraum;37.81;2
2021-09-30T11:04:43;co2konzentration;heizraum;511.0;3
2021-09-30T11:04:50;innentemperatur;heizraum2;21.99;1
2021-09-30T11:04:50;innenfeuchtigkeit;heizraum2;41.8;2
2021-09-30T11:04:50;luftqualitaet;heizraum;120.0;4
2021-09-30T11:04:50;luftdruck;heizraum;1027.21;4
2021-09-30T11:05:30;gaszaehler;heizraum;1495.0;6
2021-09-30T11:06:04;aussentemperatur;nord;11.0;1
2021-09-30T11:06:04;aussenfeuchtigkeit;nord;76.0;2
2021-09-30T11:06:04;innentemperatur;kueche;21.0;1
2021-09-30T11:06:04;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:06:15;speicher;mitte;56.1;1
2021-09-30T11:06:16;zirkulation;eg;24.1;1
2021-09-30T11:06:17;heizung;vl;28.8;1
2021-09-30T11:06:18;zirkulation;kueche;31.1;1
2021-09-30T11:06:19;heizung;rl;28.1;1
2021-09-30T11:06:20;speicher;unten;31.9;1
2021-09-30T11:06:21;speicher;oben;57.9;1
2021-09-30T11:06:22;heizung;ladung-rl;28.1;1
2021-09-30T11:06:23;zirkulation;og;31.9;1
2021-09-30T11:06:24;kollektor;vl;42.0;1
2021-09-30T11:06:25;zirkulation;warmwasser;51.8;1
2021-09-30T11:06:43;innentemperatur;heizraum;22.14;1
2021-09-30T11:06:43;innenfeuchtigkeit;heizraum;37.74;2
2021-09-30T11:06:43;co2konzentration;heizraum;510.0;3
2021-09-30T11:06:50;innentemperatur;heizraum2;22.01;1
2021-09-30T11:06:50;innenfeuchtigkeit;heizraum2;41.87;2
2021-09-30T11:06:50;luftqualitaet;heizraum;137.0;4
2021-09-30T11:06:50;luftdruck;heizraum;1027.17;4
2021-09-30T11:07:30;gaszaehler;heizraum;1495.0;6
2021-09-30T11:08:05;aussentemperatur;nord;11.0;1
2021-09-30T11:08:05;aussenfeuchtigkeit;nord;76.0;2
2021-09-30T11:08:05;innentemperatur;kueche;21.0;1
2021-09-30T11:08:05;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:08:15;speicher;mitte;56.0;1
2021-09-30T11:08:16;zirkulation;eg;24.9;1
2021-09-30T11:08:17;heizung;vl;27.9;1
2021-09-30T11:08:18;zirkulation;kueche;30.8;1
2021-09-30T11:08:19;heizung;rl;27.8;1
2021-09-30T11:08:20;speicher;unten;32.1;1
2021-09-30T11:08:21;speicher;oben;57.8;1
2021-09-30T11:08:22;heizung;ladung-rl;28.1;1
2021-09-30T11:08:23;zirkulation;og;32.2;1
2021-09-30T11:08:24;kollektor;vl;41.8;1
2021-09-30T11:08:25;zirkulation;warmwasser;52.8;1
2021-09-30T11:08:43;innentemperatur;heizraum;22.1;1
2021-09-30T11:08:43;innenfeuchtigkeit;heizraum;37.96;2
2021-09-30T11:08:43;co2konzentration;heizraum;516.0;3
2021-09-30T11:08:50;innentemperatur;heizraum2;22.02;1
2021-09-30T11:08:50;innenfeuchtigkeit;heizraum2;41.96;2
2021-09-30T11:08:50;luftqualitaet;heizraum;135.0;4
2021-09-30T11:08:50;luftdruck;heizraum;1027.1799999999998;4
2021-09-30T11:09:29;gaszaehler;heizraum;14955.0;6
2021-09-30T11:10:04;aussentemperatur;nord;11.0;1
2021-09-30T11:10:04;aussenfeuchtigkeit;nord;76.0;2
2021-09-30T11:10:04;innentemperatur;kueche;21.0;1
2021-09-30T11:10:04;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:10:14;speicher;mitte;55.9;1
2021-09-30T11:10:15;zirkulation;eg;25.8;1
2021-09-30T11:10:16;heizung;vl;28.2;1
2021-09-30T11:10:18;zirkulation;kueche;29.8;1
2021-09-30T11:10:19;heizung;rl;28.1;1
2021-09-30T11:10:20;speicher;unten;31.8;1
2021-09-30T11:10:21;speicher;oben;57.8;1
2021-09-30T11:10:22;heizung;ladung-rl;28.1;1
2021-09-30T11:10:23;zirkulation;og;31.9;1
2021-09-30T11:10:24;kollektor;vl;41.9;1
2021-09-30T11:10:25;zirkulation;warmwasser;51.9;1
2021-09-30T11:10:42;innentemperatur;heizraum;22.12;1
2021-09-30T11:10:42;innenfeuchtigkeit;heizraum;38.0;2
2021-09-30T11:10:42;co2konzentration;heizraum;518.0;3
2021-09-30T11:10:50;innentemperatur;heizraum2;22.02;1
2021-09-30T11:10:50;innenfeuchtigkeit;heizraum2;42.03;2
2021-09-30T11:10:50;luftqualitaet;heizraum;122.0;4
2021-09-30T11:10:50;luftdruck;heizraum;1027.17;4
2021-09-30T11:11:29;gaszaehler;heizraum;1495.0;6
